station_id,station_name,network,n_days,date_min,date_max,PM2.5 (µg/m³)_mean,PM2.5 (µg/m³)_median,PM2.5 (µg/m³)_max,PM2.5 (µg/m³)_missing_pct,PM10 (µg/m³)_mean,PM10 (µg/m³)_median,PM10 (µg/m³)_max,PM10 (µg/m³)_missing_pct,NO (µg/m³)_mean,NO (µg/m³)_median,NO (µg/m³)_max,NO (µg/m³)_missing_pct,NO2 (µg/m³)_mean,NO2 (µg/m³)_median,NO2 (µg/m³)_max,NO2 (µg/m³)_missing_pct,NOx (ppb)_mean,NOx (ppb)_median,NOx (ppb)_max,NOx (ppb)_missing_pct,NH3 (µg/m³)_mean,NH3 (µg/m³)_median,NH3 (µg/m³)_max,NH3 (µg/m³)_missing_pct,SO2 (µg/m³)_mean,SO2 (µg/m³)_median,SO2 (µg/m³)_max,SO2 (µg/m³)_missing_pct,CO (mg/m³)_mean,CO (mg/m³)_median,CO (mg/m³)_max,CO (mg/m³)_missing_pct,Ozone (µg/m³)_mean,Ozone (µg/m³)_median,Ozone (µg/m³)_max,Ozone (µg/m³)_missing_pct,Benzene (µg/m³)_mean,Benzene (µg/m³)_median,Benzene (µg/m³)_max,Benzene (µg/m³)_missing_pct,Toluene (µg/m³)_mean,Toluene (µg/m³)_median,Toluene (µg/m³)_max,Toluene (µg/m³)_missing_pct
STN_033,Patparganj,DPCC,365,2025-01-01,2025-12-31,101.3431043956044,66.66,430.5,0.273972602739726,219.14123626373626,205.69,562.12,0.273972602739726,27.611349862258955,10.33,208.97,0.547945205479452,49.998555555555555,45.85,138.81,1.36986301369863,49.29013888888889,32.31,238.37,1.36986301369863,32.79057851239669,27.26,194.97,0.547945205479452,6.150961538461538,6.285,14.85,0.273972602739726,1.319258241758242,0.99,4.7,0.273972602739726,44.34657458563536,41.54,150.31,0.821917808219178,1.3118131868131868,0.61,91.41,0.273972602739726,6.351318681318681,4.24,202.49,0.273972602739726
STN_034,Punjabi Bagh,DPCC,365,2025-01-01,2025-12-31,107.7718105849582,71.87,417.58,1.643835616438356,201.51561452513965,175.425,585.12,1.9178082191780823,15.488253521126758,6.59,136.97,2.73972602739726,36.14898591549296,37.02,130.28,2.73972602739726,31.20640449438202,26.47,139.75,2.4657534246575343,23.713605633802818,20.87,73.34,2.73972602739726,19.930568181818185,17.41,104.1,3.5616438356164384,1.135125348189415,1.04,3.5,1.643835616438356,42.31511235955056,32.474999999999994,344.29,2.4657534246575343,19.64375,3.2,369.7,89.04109589041096,26.533846153846152,13.39,169.33,89.31506849315069
STN_035,Pusa (DPCC),DPCC,365,2025-01-01,2025-12-31,88.318,58.92,339.18,0.0,196.34312328767126,179.08,496.05,0.0,40.38717808219179,29.44,162.39,0.0,53.41917808219178,52.74,113.6,0.0,60.69649315068494,51.29,178.75,0.0,42.2478904109589,38.01,116.14,0.0,10.889335180055403,10.18,74.49,1.095890410958904,0.9958904109589041,0.94,2.95,0.0,23.965013698630134,18.99,93.22,0.0,4.305260273972603,3.22,77.82,0.0,15.820082191780822,15.11,70.1,0.0
STN_036,Pusa (IITM),IITM,365,2025-01-01,2025-12-31,84.11633608815427,57.68,377.55,0.547945205479452,164.81159779614325,149.64,489.24,0.547945205479452,32.147762430939224,17.365000000000002,182.72,0.821917808219178,33.888232044198894,30.265,92.74,0.821917808219178,43.827796143250694,28.28,182.2,0.547945205479452,,,,100.0,,,,100.0,1.558236914600551,1.37,5.33,0.547945205479452,36.73864640883978,34.335,109.18,0.821917808219178,,,,100.0,,,,100.0
STN_037,R K Puram,DPCC,365,2025-01-01,2025-12-31,108.24038461538461,75.32,457.92,0.273972602739726,196.84936813186812,184.8,559.83,0.273972602739726,29.78934065934066,16.285,188.34,0.273972602739726,41.933763736263735,37.629999999999995,93.2,0.273972602739726,46.00379120879121,33.7,181.24,0.273972602739726,24.481098901098903,23.305,56.26,0.273972602739726,19.37851648351648,16.72,96.05,0.273972602739726,1.3340384615384617,1.11,4.35,0.273972602739726,32.69063186813187,32.055,76.18,0.273972602739726,0.223314121037464,0.14,4.27,4.931506849315069,1.259048991354467,0.56,18.19,4.931506849315069
STN_038,Rohini,DPCC,365,2025-01-01,2025-12-31,116.04438356164384,75.75,572.0,0.0,232.26115068493152,212.42,752.75,0.0,22.95238356164383,9.02,195.13,0.0,35.9647397260274,33.92,99.91,0.0,37.80367123287671,25.47,192.9,0.0,48.254383561643834,43.12,127.52,0.0,8.256712328767122,6.57,30.87,0.0,1.0948626373626373,0.885,4.72,0.273972602739726,41.980493150684936,42.03,104.25,0.0,0.3259237536656892,0.19,7.16,6.575342465753424,11.44026392961877,6.78,336.0,6.575342465753424
STN_039,Shadipur,CPCB,365,2025-01-01,2025-12-31,91.02930362116992,79.73,334.35,1.643835616438356,187.2493314763231,167.92,552.25,1.643835616438356,18.010473537604454,15.5,90.96,1.643835616438356,65.21334261838439,65.85,119.58,1.643835616438356,47.64389972144847,45.1,133.37,1.643835616438356,34.98787709497206,33.85,70.73,1.9178082191780823,14.582284122562676,13.05,120.13,1.643835616438356,1.1452367688022285,1.02,3.05,1.643835616438356,22.68493036211699,22.42,77.78,1.643835616438356,2.0586908077994432,2.0,3.54,1.643835616438356,3.21116991643454,3.07,5.73,1.643835616438356
STN_040,Sirifort,CPCB,365,2025-01-01,2025-12-31,103.5432132963989,76.08,431.15,1.095890410958904,211.91668493150684,202.92,653.13,0.0,24.10716253443526,24.03,33.2,0.547945205479452,37.36440771349862,36.31,63.07,0.547945205479452,39.17848484848485,39.63,75.53,0.547945205479452,52.48641873278237,50.04,111.52,0.547945205479452,33.177150684931505,26.09,66.78,0.0,1.095150684931507,0.87,4.48,0.0,26.25186301369863,24.73,111.2,0.0,1.8710714285714285,1.32,50.0,0.273972602739726,,,,100.0
STN_041,Sonia Vihar,DPCC,365,2025-01-01,2025-12-31,96.23105263157896,64.57,466.29,1.095890410958904,191.7741208791209,173.25,612.71,0.273972602739726,22.396887052341597,13.1,148.55,0.547945205479452,34.13898071625344,33.54,73.85,0.547945205479452,36.35371900826447,29.02,151.09,0.547945205479452,32.95272727272727,31.08,92.25,0.547945205479452,11.540303867403315,10.024999999999999,37.86,0.821917808219178,1.7307967032967033,1.41,7.45,0.273972602739726,36.031377410468316,31.09,95.32,0.547945205479452,3.8278597785977864,3.07,24.96,25.753424657534246,11.220553505535054,8.53,137.27,25.753424657534246
STN_042,Sri Aurobindo Marg,DPCC,365,2025-01-01,2025-12-31,74.36870879120879,56.114999999999995,298.75,0.273972602739726,149.8012912087912,138.32999999999998,404.02,0.273972602739726,15.934752747252746,11.135000000000002,121.72,0.273972602739726,29.724532967032967,27.990000000000002,110.57,0.273972602739726,28.686868131868135,25.195,126.33,0.273972602739726,26.22417582417582,24.955,70.98,0.273972602739726,11.810934065934067,8.225000000000001,52.64,0.273972602739726,1.133131868131868,1.0150000000000001,2.99,0.273972602739726,38.90887362637363,33.625,109.42,0.273972602739726,1.5617906336088152,0.82,10.7,0.547945205479452,10.684765840220384,9.09,51.6,0.547945205479452
STN_043,Talkatora Garden,DPCC,365,2025-01-01,2025-12-31,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0
STN_044,Vivek Vihar,DPCC,365,2025-01-01,2025-12-31,113.4790934065934,69.74000000000001,478.2,0.273972602739726,212.33793388429757,185.42,685.96,0.547945205479452,17.54785123966942,11.0,166.25,0.547945205479452,38.85878787878788,35.91,103.14,0.547945205479452,34.63515151515151,26.64,172.82,0.547945205479452,31.37339779005525,32.980000000000004,136.63,0.821917808219178,11.64868493150685,11.85,38.17,0.0,1.279835164835165,1.03,5.33,0.273972602739726,30.64450549450549,21.12,120.31,0.273972602739726,2.8421095890410957,2.1,34.41,0.0,30.8926301369863,26.58,206.73,0.0
STN_045,Wazirpur,DPCC,365,2025-01-01,2025-12-31,124.2896712328767,80.71,566.36,0.0,281.57504109589047,249.21,800.32,0.0,28.992684931506854,16.48,187.33,0.0,64.93008219178083,62.72,158.54,0.0,58.070630136986296,48.32,213.59,0.0,50.52895890410959,44.76,182.37,0.0,12.409068493150684,10.2,44.28,0.0,1.2895616438356166,1.21,4.17,0.0,48.256191780821915,46.03,119.13,0.0,2.5468802228412257,1.64,15.44,1.643835616438356,8.171281337047354,4.87,48.71,1.643835616438356
